lines,chunks,file_count,r_queue,r_exp,r_exp_product,s_exp,s_exp_product,review_time_minutes,is_bad
14,4,2,1,367,323,4397,4073,13.10000002,0
35,6,2,23,1180,1146,4385,4061,35075.21667,0
7,3,1,23,1180,1146,4385,4061,35075.21667,0
69,12,5,19,3508,3344,2305,1684,446.8833335,0
2,1,1,2,3097,2912,702,670,1288.033333,1
1,1,1,1,763,197,452,40,2702.750001,1
33,5,2,1,2298,1888,691,668,16415.86667,1
84,27,1,18,12687,11792,1616,1221,4264.35,1
15,4,3,1,926,905,1617,1222,449.4666669,0
2,1,1,21,604,467,201,107,44.00000006,1
8,1,1,2,12,4,192,12,4877.933333,1
28,3,2,9,3093,1782,2009,1477,38.44999999,0
69,14,3,9,3093,1782,2009,1477,38.44999999,1
6,2,1,9,3093,1782,2009,1477,38.44999999,0
10,2,1,1,367,323,4397,4073,13.10000002,0
14,4,2,16,12695,11797,344,122,33.0833336,1
3,1,1,1,370,326,2121,302,60.66666685,0
15,5,5,4,1175,541,1111,895,2781.55,1
15,5,5,36,3114,9,1111,895,5386.866667,1
32,7,6,7,980,406,0,0,1960.533334,1
80,4,3,36,3114,1795,984,844,7184.716666,1
2,1,1,36,3114,1795,984,844,7184.716666,0
175,74,60,36,3114,1795,984,844,7184.716666,1
85,13,2,3,265,175,28,28,262.9333334,1
18,6,6,3,1175,541,1108,894,5013.366667,1
18,6,6,37,3114,9,1108,894,7619.266666,1
26,10,3,2,81,39,3373,51,2626.75,1
8,3,1,2,81,39,3373,51,2626.75,1
16,2,1,3,81,39,3374,52,2548.383333,0
4,2,2,0,29,29,107,105,0,0
12,3,3,0,3,3,403,358,4096.8,1
4,1,1,16,12694,11796,919,811,64.59999964,1
2,1,1,2,1175,541,1593,718,5820.033334,1
167,15,5,2,58,0,132,14,7052.833333,1
253,10,10,2,58,0,132,14,7052.833333,1
363,4,4,2,58,0,132,14,7052.833333,1
14,1,1,15,1084,949,975,837,15326.55,1
5,3,1,8,4033,1284,1598,723,32.91666649,1
10,2,2,9,4033,1284,1599,724,14.78333294,1
328,34,21,12,3835,268,3274,3047,5635.633333,1
11,3,2,1,403,24,1343,1203,22.93333367,1
24,6,3,0,156,153,1597,722,6894.95,0
70,18,7,5,65,60,161,140,0,1
7,2,1,5,277,259,832,726,77.46666692,0
5,1,1,18,12691,82,1036,40,12.13333324,0
52,8,2,18,12691,82,1036,40,12.13333324,0
14,6,2,18,12691,82,1036,40,12.13333324,0
5,1,1,5,18,17,1033,948,3894.083333,0
29,6,3,8,4036,1287,617,542,39.25000034,1
1,1,1,1,30,30,2256,1838,4655.6,0
15,5,5,2,1179,544,1113,897,204.1166666,1
15,5,5,33,3121,11,1113,897,4.333333299,1
42,3,3,16,12696,11798,1548,1503,348.3166663,1
11,1,1,2,30,30,2257,1839,2968.666667,0
13,3,1,0,0,0,1629,1233,6.850000396,0
7,1,1,8,4037,1288,605,539,38.8000001,0
5,1,1,1,247,75,3419,1017,34.55000035,0
10,1,1,4,139,40,719,289,0,1
40,2,2,7,1514,1492,735,733,2116.683333,0
2,1,1,8,4038,1289,1601,726,49.00000043,1
24,6,3,0,156,153,1597,722,6894.95,1
2,1,1,6,139,40,1631,1235,22.94999957,1
17,5,3,0,1454,1051,940,458,8.000000194,0
6,2,1,3,272,257,431,421,8.633333445,1
30,7,1,10,179,3,131,76,11935.35,1
128,6,4,5,1208,1051,9338,8633,32371.6,1
22,9,3,12,1212,1052,9358,8653,25708.1,1
18,2,2,8,1212,1052,9352,8647,25859.88333,0
54,2,1,37,1985,1874,9417,8712,6931.9,1
168,33,22,58,12049,10751,4,4,1209.216667,1
32,4,2,0,2490,2396,9384,8679,16867.16667,1
30,6,4,1,551,546,6334,5530,31.98333286,0
49,2,1,1,371,327,159,157,146.8833333,1
34,6,1,6,412,1,1973,123,2823.666666,1
75,12,4,14,1084,949,974,836,15360.58333,1
8,4,2,70,12057,10759,1632,1236,13.18333291,0
2,1,1,33,3120,1797,2041,1501,38.44999999,0
4,1,1,0,376,332,992,883,0,0
42,6,2,2,84,42,3378,54,595.9833334,0
2,1,1,2,450,394,1084,141,16.28333353,0
4,2,2,28,12697,11799,996,856,37.09999993,0
239,1,1,2,170,128,173,16,30.08333378,1
8,1,1,1,155,108,174,17,123.5,0
4,2,2,66,12050,10752,3417,1853,380.9666669,0
184,12,3,5,4940,3135,2036,1500,9910.733333,1
641,5,5,1,1181,232,2046,19,137.7499998,0
6,1,1,7,624,477,2043,1502,354.366667,0
2,1,1,2,450,394,1084,141,16.28333353,1
1,1,1,0,51,50,358,345,13136.56667,0
6,3,2,1,245,88,2044,1503,384.783333,0
8,3,2,2,245,88,2045,1504,364.9833331,1
2,1,1,3,245,88,2047,1505,87.03333333,1
97,11,8,5,3099,1787,179,163,4667.55,0
75,5,4,13,3507,3343,1025,890,3749.716667,0
6,3,1,13,3103,2917,990,881,416.433333,1
7,5,2,3,515,514,737,735,1206.033334,0
32,2,2,3,515,514,737,735,1206.033334,1
20,3,2,2,1145,1112,1420,1023,1312.533333,0
14,3,2,1,246,74,208,152,10.60000017,0
2,1,1,8,4039,0,606,1,202.2666666,0
11,2,2,2,133,118,553,248,1019.35,0
2,1,1,1,109,104,552,247,848.0333329,0
135,10,7,0,5,5,48,47,0,1
88,11,5,0,5,5,48,47,0,1
145,18,4,11,1942,1831,9221,8517,72021.41667,0
126,5,4,11,1942,1831,9221,8517,72021.41667,0
126,8,3,2,174,174,9318,8614,41.06666654,1
126,8,3,21,1960,1849,9318,8614,40195.43333,1
283,23,8,12,1213,1052,9359,8654,28122.56667,1
24,4,1,12,1213,1052,9359,8654,28122.56667,0
65,9,5,12,1213,1052,9359,8654,28122.56667,1
25,1,1,12,1213,1052,9359,8654,28122.56667,0
224,3,3,1,245,73,207,151,42.88333274,1
295,11,3,0,51,50,360,347,321.1333336,1
2,1,1,11,1942,1831,9221,8517,72021.41667,0
16,4,3,0,4,4,2122,1777,2343.833333,1
20,3,2,2,1145,1112,1420,1023,1312.533333,0
2,1,1,1,133,118,551,246,1054.683334,0
11,4,1,0,155,80,348,191,0,0
2,1,1,0,156,81,349,192,0,0
15,2,1,0,158,83,351,194,0,0
26,2,2,0,159,84,352,195,0,1
173,15,2,6,243,237,4405,4081,574.5,1
11,3,2,6,243,237,4405,4081,574.5,0
10,2,1,6,243,237,4405,4081,574.5,0
29,5,2,6,243,237,4405,4081,574.5,0
18,3,2,6,243,237,4405,4081,574.5,0
20,1,1,6,243,237,4405,4081,574.5,1
153,8,1,6,243,237,4405,4081,574.5,1
3,1,1,6,243,237,4405,4081,574.5,0
23,2,1,3,905,619,257,223,160.5999999,0
22,3,2,0,376,332,992,883,0,1
6,1,1,3,3103,2917,3377,3013,1043.633333,0
4,1,1,3,3103,2917,3377,3013,1043.633333,0
205,12,5,25,12045,10747,1634,1337,12.20000021,1
35,2,2,8,4043,1293,618,543,8.483332917,0
69,2,2,1,5,4,331,5,3269.183333,0
19,1,1,0,55,42,290,208,0,0
229,2,1,1,93,14,461,67,0,1
157,1,1,1,156,109,177,20,1063.6,1
21,3,1,1,156,109,177,20,1063.6,1
2,1,1,6,670,311,1981,126,623.9166668,1
19,4,3,12,810,725,1634,1238,23.45000021,0
76,10,6,1,16,16,290,273,33.9166671,1
9,1,1,2,122,119,357,344,0,0
30,5,1,2,122,119,357,344,0,0
251,34,15,2,122,119,357,344,0,1
